nodes 300
source 0
sink 299
arcs 18052
0 299 10
0 1 4
0 12 1
0 15 8
0 17 7
0 21 2
0 24 4
0 42 10
0 46 3
0 48 9
0 56 10
0 59 2
0 64 3
0 84 7
0 85 10
0 88 10
0 89 6
0 91 7
0 93 9
0 94 6
0 98 5
0 99 6
0 101 8
0 105 6
0 122 10
0 125 3
0 126 5
0 136 4
0 141 8
0 147 9
0 160 8
0 167 9
0 168 10
0 175 4
0 180 1
0 184 10
0 185 3
0 187 8
0 192 1
0 195 6
0 209 6
0 219 6
0 223 1
0 226 8
0 240 2
0 242 10
0 251 8
0 254 10
0 259 4
0 260 3
0 265 2
0 267 2
0 282 5
0 283 1
1 1 2
1 9 1
1 14 7
1 22 9
1 26 7
1 27 2
1 28 4
1 33 5
1 40 7
1 43 8
1 46 2
1 48 8
1 49 1
1 56 7
1 64 4
1 81 9
1 92 7
1 101 6
1 113 3
1 120 8
1 131 5
1 133 2
1 134 7
1 139 5
1 140 9
1 141 5
1 143 10
1 144 7
1 146 7
1 149 1
1 160 6
1 162 3
1 163 8
1 170 3
1 179 8
1 184 10
1 185 1
1 189 6
1 190 2
1 191 5
1 200 5
1 210 2
1 217 4
1 227 1
1 230 3
1 231 8
1 236 2
1 244 1
1 264 3
1 267 6
1 270 4
1 271 2
1 273 9
1 278 7
1 281 4
1 285 10
1 295 8
1 299 7
2 0 3
2 5 10
2 7 3
2 10 7
2 12 3
2 13 2
2 14 5
2 15 10
2 18 8
2 29 10
2 31 10
2 33 8
2 38 6
2 40 8
2 57 7
2 66 10
2 69 9
2 71 3
2 73 2
2 77 4
2 79 7
2 86 5
2 88 6
2 96 4
2 102 1
2 104 6
2 105 7
2 107 4
2 109 8
2 115 1
2 117 5
2 120 6
2 123 4
2 141 7
2 144 4
2 145 6
2 148 9
2 151 1
2 153 6
2 154 6
2 158 10
2 171 10
2 173 7
2 180 3
2 187 4
2 194 2
2 200 9
2 202 3
2 206 2
2 217 6
2 218 1
2 220 6
2 222 7
2 225 9
2 245 4
2 246 4
2 248 3
2 252 7
2 256 2
2 258 7
2 263 4
2 265 7
2 266 10
2 267 2
2 268 3
2 275 3
2 278 6
2 279 10
2 284 5
2 289 9
2 292 3
2 299 9
3 1 6
3 4 2
3 7 2
3 12 5
3 14 10
3 23 8
3 31 7
3 36 8
3 37 8
3 38 8
3 40 7
3 57 2
3 70 3
3 78 5
3 83 8
3 97 2
3 98 2
3 102 4
3 104 6
3 109 6
3 115 4
3 118 7
3 123 4
3 126 4
3 127 3
3 132 4
3 145 6
3 148 5
3 160 7
3 164 10
3 173 5
3 175 4
3 182 8
3 183 8
3 185 9
3 186 8
3 188 10
3 194 7
3 200 7
3 214 6
3 219 8
3 221 10
3 231 6
3 232 4
3 234 10
3 235 8
3 238 10
3 239 3
3 241 5
3 244 5
3 246 10
3 248 9
3 259 4
3 260 8
3 261 4
3 265 7
3 272 7
3 275 9
3 276 7
3 282 10
3 283 7
3 289 10
3 296 3
3 297 9
3 298 1
4 5 5
4 12 5
4 20 10
4 22 2
4 27 4
4 32 9
4 35 5
4 41 6
4 54 2
4 56 1
4 57 10
4 58 9
4 78 5
4 80 3
4 120 7
4 121 3
4 123 2
4 128 1
4 129 2
4 133 9
4 144 6
4 145 8
4 151 7
4 153 9
4 155 5
4 158 2
4 163 2
4 178 3
4 182 1
4 189 10
4 195 1
4 199 5
4 206 3
4 208 6
4 217 7
4 226 4
4 233 2
4 242 3
4 243 10
4 247 9
4 252 8
4 255 7
4 258 7
4 260 7
4 268 8
4 269 7
4 274 1
4 285 2
4 288 9
4 296 2
5 2 9
5 3 5
5 9 10
5 34 4
5 39 2
5 40 8
5 42 9
5 50 4
5 58 8
5 63 2
5 64 4
5 68 1
5 75 5
5 80 5
5 96 8
5 100 6
5 102 5
5 103 10
5 104 2
5 105 5
5 108 1
5 109 3
5 116 2
5 119 1
5 129 8
5 131 7
5 134 6
5 135 1
5 143 6
5 147 9
5 150 7
5 151 7
5 157 7
5 158 3
5 163 3
5 164 9
5 165 6
5 171 6
5 174 5
5 175 6
5 200 8
5 202 8
5 205 5
5 207 1
5 208 3
5 225 7
5 231 8
5 242 7
5 245 2
5 246 10
5 256 7
5 258 9
5 259 8
5 260 2
5 261 3
5 268 3
5 272 9
5 274 1
5 286 7
5 293 4
5 294 1
5 298 3
6 3 5
6 4 2
6 13 9
6 23 7
6 25 8
6 27 2
6 30 4
6 38 6
6 45 3
6 52 9
6 55 5
6 77 8
6 83 4
6 84 6
6 88 4
6 99 8
6 114 2
6 118 8
6 127 8
6 132 3
6 133 2
6 135 8
6 143 6
6 145 3
6 149 6
6 153 6
6 156 10
6 165 9
6 176 3
6 178 10
6 179 6
6 181 10
6 185 1
6 201 6
6 211 3
6 214 5
6 216 3
6 217 1
6 218 7
6 225 5
6 226 7
6 227 3
6 228 4
6 231 10
6 232 8
6 234 2
6 235 1
6 243 4
6 257 8
6 260 6
6 273 3
6 274 3
6 277 9
6 281 3
6 282 4
6 286 4
6 292 5
6 293 2
6 297 8
6 299 6
7 5 3
7 20 4
7 29 1
7 37 8
7 40 5
7 45 9
7 46 8
7 52 6
7 54 7
7 59 9
7 60 5
7 62 2
7 64 6
7 69 4
7 70 1
7 77 4
7 81 7
7 85 9
7 91 3
7 93 10
7 104 5
7 106 3
7 125 2
7 129 9
7 130 10
7 133 1
7 137 8
7 141 6
7 142 3
7 148 5
7 159 4
7 168 10
7 178 3
7 200 10
7 207 10
7 209 10
7 211 2
7 212 3
7 221 10
7 226 6
7 233 5
7 234 8
7 243 3
7 258 4
7 259 9
7 262 3
7 273 9
7 278 7
7 280 4
7 281 5
7 283 2
7 285 6
7 287 1
7 290 5
7 292 9
7 299 3
8 1 1
8 5 3
8 10 5
8 15 7
8 21 5
8 22 7
8 23 10
8 24 2
8 32 8
8 55 3
8 59 7
8 63 4
8 68 4
8 69 2
8 75 6
8 99 3
8 101 4
8 110 3
8 118 7
8 121 6
8 124 3
8 125 9
8 127 7
8 135 7
8 136 8
8 150 1
8 151 2
8 158 4
8 168 4
8 177 4
8 180 1
8 188 9
8 194 6
8 210 3
8 211 4
8 216 3
8 220 1
8 234 3
8 235 9
8 237 4
8 242 2
8 244 9
8 247 3
8 248 5
8 251 6
8 263 4
8 280 4
8 293 2
9 7 6
9 8 8
9 9 3
9 11 6
9 14 6
9 19 9
9 27 3
9 28 2
9 40 3
9 47 9
9 66 9
9 74 4
9 78 5
9 81 1
9 84 6
9 106 1
9 107 6
9 113 6
9 119 7
9 120 1
9 126 6
9 129 5
9 131 2
9 141 4
9 142 3
9 146 1
9 156 1
9 166 8
9 169 10
9 170 8
9 179 8
9 185 4
9 186 2
